"time_point","term","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"Maternal","vacuolar transport","GO:0007034",1.42165663950631e-06,0.999999919183329,10,14
"Maternal","spliceosomal snRNP assembly","GO:0000387",1.29786696096859e-05,0.999999234969212,8,12
"Maternal","D-amino acid metabolic process","GO:0046416",2.56312970764545e-05,1,6,6
"Maternal","DNA damage checkpoint","GO:0000077",9.35604421421143e-05,0.999994349528488,7,10
"Maternal","intracellular signal transduction","GO:0035556",0.000165225381782367,0.999923991553934,40,146
"Maternal","DNA repair","GO:0006281",0.000580872009903417,0.999772651477796,24,87
"Maternal","kinetochore assembly","GO:0051382",0.00065756545197794,0.999967749830559,5,7
"Maternal","protein dephosphorylation","GO:0006470",0.00122831404280579,0.999575201075769,18,55
"Maternal","DNA replication","GO:0006260",0.00129595133307453,0.999599889837352,15,45
"Maternal","negative regulation of transcription by RNA polymerase II","GO:0000122",0.00171418365046175,0.999965044996623,3,4
"Maternal","nucleoside metabolic process","GO:0009116",0.00281349000872529,0.999378033135229,9,23
"Maternal","microtubule anchoring","GO:0034453",0.00331827629930103,1,3,3
"Maternal","DNA-templated transcription, initiation","GO:0006352",0.00347991730741224,0.999488432461216,6,14
"Maternal","protein deubiquitination","GO:0016579",0.00348783543163584,0.99880919605808,15,43
"Maternal","organic phosphonate catabolic process","GO:0019700",0.00356669567671005,1,3,3
"Maternal","ATP-dependent chromatin remodeling","GO:0043044",0.00544156262343466,1,3,3
"Maternal","regulation of exit from mitosis","GO:0007096",0.00584942167421551,1,2,2
"Maternal","cellular response to ionizing radiation","GO:0071479",0.00693622534848116,1,2,2
"Maternal","tRNA processing","GO:0008033",0.00769764035148345,0.997946657756486,9,25
"Maternal","glucose metabolic process","GO:0006006",0.00836718940109423,0.999692584077159,3,4
"Maternal","positive regulation of transcription by RNA polymerase II","GO:0045944",0.00893723956993968,0.999178869291586,4,7
"Maternal","chromatin assembly or disassembly","GO:0006333",0.00903002510893218,1,2,2
"Maternal","C-terminal protein methylation","GO:0006481",0.00929018610583493,1,2,2
"Maternal","Arp2/3 complex-mediated actin nucleation","GO:0034314",0.00940296098483455,0.999026860657579,4,8
"Maternal","proton transmembrane transport","GO:1902600",0.00981104632999577,0.997828241892458,7,18
"Maternal","rRNA processing","GO:0006364",0.00983943020616639,0.997509420469336,8,22
"Maternal","protein import into nucleus","GO:0006606",0.0102518017009094,0.998652744773137,5,9
"Maternal","microtubule organizing center organization","GO:0031023",0.0110553207114416,1,2,2
"Maternal","mRNA processing","GO:0006397",0.0112030919727216,0.996039911975566,12,38
"Maternal","GPI anchor biosynthetic process","GO:0006506",0.011294644059,0.997742388293723,6,16
"Maternal","S-adenosylmethionine biosynthetic process","GO:0006556",0.0113723822412973,1,2,2
"Maternal","calcium ion import across plasma membrane","GO:0098703",0.012089039906655,1,2,2
"Maternal","ubiquitin-dependent protein catabolic process","GO:0006511",0.0129194516860909,0.994008983385686,19,70
"Maternal","protein O-linked glycosylation","GO:0006493",0.0134575921837777,0.999405035105915,3,4
"Maternal","mitochondrial electron transport, NADH to ubiquinone","GO:0006120",0.0141736936032597,1,2,2
"Maternal","dUMP biosynthetic process","GO:0006226",0.0150713051155335,1,2,2
"Maternal","dUTP catabolic process","GO:0046081",0.0150713051155335,1,2,2
"Maternal","centrosome cycle","GO:0007098",0.0157794555765395,0.998269830333802,4,7
"Maternal","signaling","GO:0023052",0.0164036240511975,0.999215391232126,3,4
"Maternal","mitochondrial transport","GO:0006839",0.0182460418527771,1,2,2
"Maternal","meiotic chromosome segregation","GO:0045132",0.0185726666983838,1,2,2
"Maternal","DNA replication, synthesis of RNA primer","GO:0006269",0.0186014407927454,0.999064115746568,3,4
"Maternal","actin cytoskeleton organization","GO:0030036",0.0189070917846192,0.999042449085882,3,4
"Maternal","transport","GO:0006810",0.0189387338989015,1,2,2
"Maternal","spindle assembly","GO:0051225",0.0198107070993806,0.996487039508567,5,11
"Maternal","replication fork protection","GO:0048478",0.020129926917523,1,2,2
"Maternal","translational initiation","GO:0006413",0.0201536972787855,0.994030677272913,8,24
"Maternal","regulation of protein phosphorylation","GO:0001932",0.021519894348187,1,2,2
"Maternal","dTMP biosynthetic process","GO:0006231",0.0217931663275806,1,2,2
"Maternal","Golgi vesicle transport","GO:0048193",0.0228871905819951,0.998198089337725,3,5
"Maternal","ribosomal large subunit assembly","GO:0000027",0.0229186077786621,1,2,2
"Maternal","protein folding","GO:0006457",0.0235291333470197,0.989681104053852,14,55
"Maternal","positive regulation of apoptotic process","GO:0043065",0.0245490692912765,1,2,2
"Maternal","biosynthetic process","GO:0009058",0.0248322471809689,0.989100760531816,14,52
"Maternal","regulation of receptor recycling","GO:0001919",0.0254794665916356,1,2,2
"Maternal","lysosome organization","GO:0007040",0.0254794665916356,1,2,2
"Maternal","cholesterol homeostasis","GO:0042632",0.0254794665916356,1,2,2
"Maternal","positive regulation of MAPK cascade","GO:0043410",0.0254794665916356,1,2,2
"Maternal","glycerol-3-phosphate catabolic process","GO:0046168",0.0256552848069622,1,2,2
"Maternal","cGMP biosynthetic process","GO:0006182",0.0257576283527187,0.993887435001145,6,15
"Maternal","ATP synthesis coupled proton transport","GO:0015986",0.0264419463421741,0.993256234449613,6,19
"Maternal","glucose catabolic process","GO:0006007",0.0269452348357379,1,2,2
"Maternal","tRNA wobble uridine modification","GO:0002098",0.0271276274129365,0.996084365530183,4,8
"Maternal","ADP biosynthetic process","GO:0006172",0.0286448903020278,1,2,2
"Maternal","double-strand break repair via nonhomologous end joining","GO:0006303",0.0286561754525553,0.99578878534996,4,8
"Maternal","recombinational repair","GO:0000725",0.0292384271473824,1,2,2
"Maternal","heme O biosynthetic process","GO:0048034",0.0298566778592564,1,2,2
"Maternal","threonine catabolic process","GO:0006567",0.0300359958366327,1,2,2
"Maternal","cysteine biosynthetic process from serine","GO:0006535",0.0301886721369464,1,2,2
"Maternal","positive regulation of cell cycle G2/M phase transition","GO:1902751",0.0303164012228823,1,2,2
"Maternal","transcription by RNA polymerase I","GO:0006360",0.0303494180174679,1,2,2
"Maternal","glycerol-3-phosphate metabolic process","GO:0006072",0.0304259249091805,1,2,2
"Maternal","ultradian rhythm","GO:0007624",0.0306022125285484,1,2,2
"Maternal","cell morphogenesis","GO:0000902",0.0307885161049366,0.997266227618222,3,5
"Maternal","N-terminal protein myristoylation","GO:0006499",0.0308624998433163,1,2,2
"Maternal","establishment or maintenance of cell polarity","GO:0007163",0.0309118701128956,1,2,2
"Maternal","mRNA 3'-end processing","GO:0031124",0.0309175391333374,1,2,2
"Maternal","pentose-phosphate shunt, non-oxidative branch","GO:0009052",0.0309499631247517,1,2,2
"Maternal","histone arginine methylation","GO:0034969",0.0309556296747085,1,2,2
"Maternal","cytoskeleton-dependent intracellular transport","GO:0030705",0.0309558134358239,1,2,2
"Maternal","cholesterol biosynthetic process","GO:0006695",0.0310584201499511,0.998360054865701,2,4
"Maternal","telomere maintenance","GO:0000723",0.0321963694319998,0.991389292047611,6,19
"Maternal","electron transport chain","GO:0022900",0.0381018087916681,0.998383175319049,2,3
"Maternal","cellular amino acid metabolic process","GO:0006520",0.0382324548617672,0.988093359912298,7,22
"Maternal","phosphatidylinositol metabolic process","GO:0046488",0.0391121785773934,0.996164900312125,3,5
